"","rng_seed","species_initiation_rate_good_species","species_initiation_rate_incipient_species","speciation_completion_rate","extinction_rate_good_species","extinction_rate_incipient_species","age","n_species_trees_samples","mutation_rate","n_alignments","sequence_length","mcmc_chainlength","n_beast_runs","version"
"article_0_0_0_0_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_0_0_0_1.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_0_0_0_2.RDa",1,0.1,0.1,0.1,0,0,15,2,0.1,2,1e+05,1e+06,2,0.1
"article_0_0_0_1_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_0_0_1_1.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_0_0_1_2.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_0_0_2_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_0_0_2_1.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_0_0_2_2.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_0_1_0_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_0_1_0_1.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_0_1_0_2.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_0_1_1_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_0_1_1_1.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_0_1_1_2.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_0_1_2_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_0_1_2_1.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_0_1_2_2.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_0_2_0_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_0_2_0_1.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_0_2_0_2.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_0_2_1_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_0_2_1_1.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_0_2_1_2.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_0_2_2_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_0_2_2_1.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_0_2_2_2.RDa",1,0.1,0.1,0.1,0.2,0.2,15,2,0.001,2,1e+05,1e+06,2,0.1
"article_0_0_3_0_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_0_3_0_1.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_0_3_0_2.RDa",1,0.1,0.1,0.1,0.4,0.4,15,2,0.1,2,1e+05,1e+06,2,0.1
"article_0_0_3_1_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_0_3_1_1.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_0_3_1_2.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_0_3_2_0.RDa",1,0.1,0.1,0.1,0.4,0.4,15,2,0.001,2,1000,1e+06,2,0.1
"article_0_0_3_2_1.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_0_3_2_2.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_0_4_0_0.RDa",1,0.1,0.1,0,0.8,0.8,5,2,0.1,2,1000,1e+06,2,0.1
"article_0_0_4_0_1.RDa",1,0.1,0.1,0,0.8,0.8,5,2,0.1,2,10000,1e+06,2,0.1
"article_0_0_4_0_2.RDa",1,0.1,0.1,0,0.8,0.8,5,2,0.1,2,10000,1e+06,2,0.1
"article_0_0_4_1_0.RDa",1,0.1,0.1,0,0.8,0.8,5,2,0.01,2,1000,1e+06,2,0.1
"article_0_0_4_1_1.RDa",1,0.1,0.1,0,0.8,0.8,5,2,0.01,2,10000,1e+06,2,0.1
"article_0_0_4_1_2.RDa",1,0.1,0.1,0,0.8,0.8,5,2,0.01,2,10000,1e+06,2,0.1
"article_0_0_4_2_0.RDa",1,0.1,0.1,0,0.8,0.8,5,2,0.001,2,1000,1e+06,2,0.1
"article_0_0_4_2_1.RDa",1,0.1,0.1,0,0.8,0.8,5,2,0.001,2,10000,1e+06,2,0.1
"article_0_0_4_2_2.RDa",1,0.1,0.1,0,0.8,0.8,5,2,0.001,2,10000,1e+06,2,0.1
"article_0_1_0_0_0.RDa",1,0.1,0.1,0.3,0,0,15,2,0.1,2,1000,1e+06,2,0.1
"article_0_1_0_0_1.RDa",1,0.1,0.1,0.3,0,0,15,2,0.1,2,10000,1e+06,2,0.1
"article_0_1_0_0_2.RDa",1,0.1,0.1,0.3,0,0,15,2,0.1,2,1e+05,1e+06,2,0.1
"article_0_1_0_1_0.RDa",1,0.1,0.1,0.3,0,0,15,2,0.01,2,1000,1e+06,2,0.1
"article_0_1_0_1_1.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_1_0_1_2.RDa",1,0.1,0.1,0.3,0,0,15,2,0.01,2,1e+05,1e+06,2,0.1
"article_0_1_0_2_0.RDa",1,0.1,0.1,0.3,0,0,15,2,0.001,2,1000,1e+06,2,0.1
"article_0_1_0_2_1.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_1_0_2_2.RDa",1,0.1,0.1,0.3,0,0,15,2,0.001,2,1e+05,1e+06,2,0.1
"article_0_1_1_0_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_1_1_0_1.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_1_1_0_2.RDa",1,0.1,0.1,0.3,0.1,0.1,15,2,0.1,2,1e+05,1e+06,2,0.1
"article_0_1_1_1_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_1_1_1_1.RDa",1,0.1,0.1,0.3,0.1,0.1,15,2,0.01,2,10000,1e+06,2,0.1
"article_0_1_1_1_2.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_1_1_2_0.RDa",1,0.1,0.1,0.3,0.1,0.1,15,2,0.001,2,1000,1e+06,2,0.1
"article_0_1_1_2_1.RDa",1,0.1,0.1,0.3,0.1,0.1,15,2,0.001,2,10000,1e+06,2,0.1
"article_0_1_1_2_2.RDa",1,0.1,0.1,0.3,0.1,0.1,15,2,0.001,2,1e+05,1e+06,2,0.1
"article_0_1_2_0_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_1_2_0_1.RDa",1,0.1,0.1,0.3,0.2,0.2,15,2,0.1,2,10000,1e+06,2,0.1
"article_0_1_2_0_2.RDa",1,0.1,0.1,0.3,0.2,0.2,15,2,0.1,2,1e+05,1e+06,2,0.1
"article_0_1_2_1_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_1_2_1_1.RDa",1,0.1,0.1,0.3,0.2,0.2,15,2,0.01,2,10000,1e+06,2,0.1
"article_0_1_2_1_2.RDa",1,0.1,0.1,0.3,0.2,0.2,15,2,0.01,2,1e+05,1e+06,2,0.1
"article_0_1_2_2_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_1_2_2_1.RDa",1,0.1,0.1,0.3,0.2,0.2,15,2,0.001,2,10000,1e+06,2,0.1
"article_0_1_2_2_2.RDa",1,0.1,0.1,0.3,0.2,0.2,15,2,0.001,2,1e+05,1e+06,2,0.1
"article_0_1_3_0_0.RDa",1,0.1,0.1,0.3,0.4,0.4,15,2,0.1,2,1000,1e+06,2,0.1
"article_0_1_3_0_1.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_1_3_0_2.RDa",1,0.1,0.1,0.3,0.4,0.4,15,2,0.1,2,1e+05,1e+06,2,0.1
"article_0_1_3_1_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_1_3_1_1.RDa",1,0.1,0.1,0.3,0.4,0.4,15,2,0.01,2,10000,1e+06,2,0.1
"article_0_1_3_1_2.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_1_3_2_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_1_3_2_1.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_1_3_2_2.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_1_4_0_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_1_4_0_1.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_1_4_0_2.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_1_4_1_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_1_4_1_1.RDa",1,0.1,0.1,0.1,0.8,0.8,5,2,0.01,2,10000,1e+06,2,0.1
"article_0_1_4_1_2.RDa",1,0.1,0.1,0.1,0.8,0.8,5,2,0.01,2,10000,1e+06,2,0.1
"article_0_1_4_2_0.RDa",1,0.1,0.1,0.1,0.8,0.8,5,2,0.001,2,1000,1e+06,2,0.1
"article_0_1_4_2_1.RDa",1,0.1,0.1,0.1,0.8,0.8,5,2,0.001,2,10000,1e+06,2,0.1
"article_0_1_4_2_2.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_2_0_0_0.RDa",1,0.1,0.1,1,0,0,15,2,0.1,2,1000,1e+06,2,0.1
"article_0_2_0_0_1.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_2_0_0_2.RDa",1,0.1,0.1,1,0,0,15,2,0.1,2,1e+05,1e+06,2,0.1
"article_0_2_0_1_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_2_0_1_1.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_2_0_1_2.RDa",1,0.1,0.1,1,0,0,15,2,0.01,2,1e+05,1e+06,2,0.1
"article_0_2_0_2_0.RDa",1,0.1,0.1,1,0,0,15,2,0.001,2,1000,1e+06,2,0.1
"article_0_2_0_2_1.RDa",1,0.1,0.1,1,0,0,15,2,0.001,2,10000,1e+06,2,0.1
"article_0_2_0_2_2.RDa",1,0.1,0.1,1,0,0,15,2,0.001,2,1e+05,1e+06,2,0.1
"article_0_2_1_0_0.RDa",1,0.1,0.1,1,0.1,0.1,15,2,0.1,2,1000,1e+06,2,0.1
"article_0_2_1_0_1.RDa",1,0.1,0.1,1,0.1,0.1,15,2,0.1,2,10000,1e+06,2,0.1
"article_0_2_1_0_2.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_2_1_1_0.RDa",1,0.1,0.1,1,0.1,0.1,15,2,0.01,2,1000,1e+06,2,0.1
"article_0_2_1_1_1.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_2_1_1_2.RDa",1,0.1,0.1,1,0.1,0.1,15,2,0.01,2,1e+05,1e+06,2,0.1
"article_0_2_1_2_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_2_1_2_1.RDa",1,0.1,0.1,1,0.1,0.1,15,2,0.001,2,10000,1e+06,2,0.1
"article_0_2_1_2_2.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_2_2_0_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_2_2_0_1.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_2_2_0_2.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_2_2_1_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_2_2_1_1.RDa",1,0.1,0.1,1,0.2,0.2,15,2,0.01,2,10000,1e+06,2,0.1
"article_0_2_2_1_2.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_2_2_2_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_2_2_2_1.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_2_2_2_2.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_2_3_0_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_2_3_0_1.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_2_3_0_2.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_2_3_1_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_2_3_1_1.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_2_3_1_2.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_2_3_2_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_2_3_2_1.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_2_3_2_2.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_2_4_0_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_2_4_0_1.RDa",1,0.1,0.1,0.2,0.8,0.8,5,2,0.1,2,10000,1e+06,2,0.1
"article_0_2_4_0_2.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_2_4_1_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_2_4_1_1.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_2_4_1_2.RDa",1,0.1,0.1,0.2,0.8,0.8,5,2,0.01,2,10000,1e+06,2,0.1
"article_0_2_4_2_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_2_4_2_1.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_2_4_2_2.RDa",1,0.1,0.1,0.2,0.8,0.8,5,2,0.001,2,10000,1e+06,2,0.1
"article_0_3_0_0_0.RDa",1,0.1,0.1,1e+06,0,0,15,2,0.1,2,1000,1e+06,2,0.1
"article_0_3_0_0_1.RDa",1,0.1,0.1,1e+06,0,0,15,2,0.1,2,10000,1e+06,2,0.1
"article_0_3_0_0_2.RDa",1,0.1,0.1,1e+06,0,0,15,2,0.1,2,1e+05,1e+06,2,0.1
"article_0_3_0_1_0.RDa",1,0.1,0.1,1e+06,0,0,15,2,0.01,2,1000,1e+06,2,0.1
"article_0_3_0_1_1.RDa",1,0.1,0.1,1e+06,0,0,15,2,0.01,2,10000,1e+06,2,0.1
"article_0_3_0_1_2.RDa",1,0.1,0.1,1e+06,0,0,15,2,0.01,2,1e+05,1e+06,2,0.1
"article_0_3_0_2_0.RDa",1,0.1,0.1,1e+06,0,0,15,2,0.001,2,1000,1e+06,2,0.1
"article_0_3_0_2_1.RDa",1,0.1,0.1,1e+06,0,0,15,2,0.001,2,10000,1e+06,2,0.1
"article_0_3_0_2_2.RDa",1,0.1,0.1,1e+06,0,0,15,2,0.001,2,1e+05,1e+06,2,0.1
"article_0_3_1_0_0.RDa",1,0.1,0.1,1e+06,0.1,0.1,15,2,0.1,2,1000,1e+06,2,0.1
"article_0_3_1_0_1.RDa",1,0.1,0.1,1e+06,0.1,0.1,15,2,0.1,2,10000,1e+06,2,0.1
"article_0_3_1_0_2.RDa",1,0.1,0.1,1e+06,0.1,0.1,15,2,0.1,2,1e+05,1e+06,2,0.1
"article_0_3_1_1_0.RDa",1,0.1,0.1,1e+06,0.1,0.1,15,2,0.01,2,1000,1e+06,2,0.1
"article_0_3_1_1_1.RDa",1,0.1,0.1,1e+06,0.1,0.1,15,2,0.01,2,10000,1e+06,2,0.1
"article_0_3_1_1_2.RDa",1,0.1,0.1,1e+06,0.1,0.1,15,2,0.01,2,1e+05,1e+06,2,0.1
"article_0_3_1_2_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_3_1_2_1.RDa",1,0.1,0.1,1e+06,0.1,0.1,15,2,0.001,2,10000,1e+06,2,0.1
"article_0_3_1_2_2.RDa",1,0.1,0.1,1e+06,0.1,0.1,15,2,0.001,2,1e+05,1e+06,2,0.1
"article_0_3_2_0_0.RDa",1,0.1,0.1,1e+06,0.2,0.2,15,2,0.1,2,1000,1e+06,2,0.1
"article_0_3_2_0_1.RDa",1,0.1,0.1,1e+06,0.2,0.2,15,2,0.1,2,10000,1e+06,2,0.1
"article_0_3_2_0_2.RDa",1,0.1,0.1,1e+06,0.2,0.2,15,2,0.1,2,1e+05,1e+06,2,0.1
"article_0_3_2_1_0.RDa",1,0.1,0.1,1e+06,0.2,0.2,15,2,0.01,2,1000,1e+06,2,0.1
"article_0_3_2_1_1.RDa",1,0.1,0.1,1e+06,0.2,0.2,15,2,0.01,2,10000,1e+06,2,0.1
"article_0_3_2_1_2.RDa",1,0.1,0.1,1e+06,0.2,0.2,15,2,0.01,2,1e+05,1e+06,2,0.1
"article_0_3_2_2_0.RDa",1,0.1,0.1,1e+06,0.2,0.2,15,2,0.001,2,1000,1e+06,2,0.1
"article_0_3_2_2_1.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_3_2_2_2.RDa",1,0.1,0.1,1e+06,0.2,0.2,15,2,0.001,2,1e+05,1e+06,2,0.1
"article_0_3_3_0_0.RDa",1,0.1,0.1,1e+06,0.4,0.4,15,2,0.1,2,1000,1e+06,2,0.1
"article_0_3_3_0_1.RDa",1,0.1,0.1,1e+06,0.4,0.4,15,2,0.1,2,10000,1e+06,2,0.1
"article_0_3_3_0_2.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_3_3_1_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_3_3_1_1.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_3_3_1_2.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_3_3_2_0.RDa",1,0.1,0.1,1e+06,0.4,0.4,15,2,0.001,2,1000,1e+06,2,0.1
"article_0_3_3_2_1.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_3_3_2_2.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_3_4_0_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_3_4_0_1.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_3_4_0_2.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_3_4_1_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_3_4_1_1.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_3_4_1_2.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_3_4_2_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_3_4_2_1.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_3_4_2_2.RDa",1,0.1,0.1,0.4,0.8,0.8,5,2,0.001,2,10000,1e+06,2,0.1
"article_0_4_0_0_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_4_0_0_1.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_4_0_0_2.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_4_0_1_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_4_0_1_1.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_4_0_1_2.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_4_0_2_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_4_0_2_1.RDa",1,0.1,0.1,0.8,0,0,5,2,0.001,2,10000,1e+06,2,0.1
"article_0_4_0_2_2.RDa",1,0.1,0.1,0.8,0,0,5,2,0.001,2,10000,1e+06,2,0.1
"article_0_4_1_0_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_4_1_0_1.RDa",1,0.1,0.1,0.8,0.1,0.1,5,2,0.1,2,10000,1e+06,2,0.1
"article_0_4_1_0_2.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_4_1_1_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_4_1_1_1.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_4_1_1_2.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_4_1_2_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_4_1_2_1.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_4_1_2_2.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_4_2_0_0.RDa",1,0.1,0.1,0.8,0.2,0.2,5,2,0.1,2,1000,1e+06,2,0.1
"article_0_4_2_0_1.RDa",1,0.1,0.1,0.8,0.2,0.2,5,2,0.1,2,10000,1e+06,2,0.1
"article_0_4_2_0_2.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_4_2_1_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_4_2_1_1.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_4_2_1_2.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_4_2_2_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_4_2_2_1.RDa",1,0.1,0.1,0.8,0.2,0.2,5,2,0.001,2,10000,1e+06,2,0.1
"article_0_4_2_2_2.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_4_3_0_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_4_3_0_1.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_4_3_0_2.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_4_3_1_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_4_3_1_1.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_4_3_1_2.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_4_3_2_0.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"article_0_4_3_2_1.RDa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
